,min_ess,method,year,run_num,runtime,n_matches,log_matches,ESS / second
0,826.7151514004487,pymc,2015,3,55.83020567893982,15464,4.189321841020496,14.807668023911667
1,177.0231759522101,pymc,1968,3,794.8591673374176,160420,5.205258512004059,0.22271011422714557
2,1233.5997071718407,pymc,2019,3,22.714853286743164,5160,3.7126497016272113,54.30806404951749
3,375.6131748823791,pymc,2000,3,210.59807777404785,56277,4.750330938119993,1.7835546214499503
4,358.6328404394324,pymc,1990,3,333.0349495410919,89460,4.951628893836638,1.076862476246452
5,532.5371679178154,pymc,2010,3,102.51984357833862,28251,4.451033825139367,5.194478935298873
6,1494.1527745096828,pymc,2020,3,15.055131912231445,2714,3.433609843323718,99.24541234313384
7,227.60588496527927,pymc,1980,3,469.5650038719177,122884,5.08949533964751,0.4847164569090478
8,703.9902460773051,pymc_blackjax_gpu_vectorized,2015,3,28.426498889923096,15464,4.189321841020496,24.76528146513542
9,450.7966594486891,pymc_blackjax_gpu_vectorized,1968,3,214.44714164733887,160420,5.205258512004059,2.1021341482370053
10,1298.6529474271608,pymc_blackjax_gpu_vectorized,2019,3,20.424046993255615,5160,3.7126497016272113,63.58450643283377
11,215.25873578547052,pymc_blackjax_gpu_vectorized,2000,3,62.28237462043762,56277,4.750330938119993,3.4561741920937377
12,405.9804652677587,pymc_blackjax_gpu_vectorized,1990,3,134.40872955322266,89460,4.951628893836638,3.0204917985405113
13,396.02429408838896,pymc_blackjax_gpu_vectorized,2010,3,36.96428322792053,28251,4.451033825139367,10.713701430283834
14,1241.2457101615923,pymc_blackjax_gpu_vectorized,2020,3,74.48471069335938,2714,3.433609843323718,16.664436212575026
15,341.5892354566512,pymc_blackjax_gpu_vectorized,1980,3,158.43975734710693,122884,5.08949533964751,2.155956567822202
16,692.832912885121,cmdstanpy,2015,3,46.976447343826294,15464,4.189321841020496,14.74851658777415
17,447.25342623457436,cmdstanpy,1968,3,1362.75586271286,160420,5.205258512004059,0.3281977634234644
18,922.517673583888,cmdstanpy,2019,3,12.104893684387207,5160,3.7126497016272113,76.21030780086436
19,414.5017606392479,cmdstanpy,2000,3,278.37255930900574,56277,4.750330938119993,1.4890180327692888
20,377.36047985007,cmdstanpy,1990,3,612.5901322364807,89460,4.951628893836638,0.6160080941434362
21,366.2050685267039,cmdstanpy,2010,3,95.3557014465332,28251,4.451033825139367,3.8404108298866464
22,1179.3610020659944,cmdstanpy,2020,3,5.683489084243774,2714,3.433609843323718,207.50651309167
23,402.4553204444897,cmdstanpy,1980,3,947.9510586261749,122884,5.08949533964751,0.4245528466709569
24,577.1633584086131,pymc_numpyro_cpu_parallel,2015,3,22.006584882736206,15464,4.189321841020496,26.22684807679487
25,432.1661492277862,pymc_numpyro_cpu_parallel,1968,3,531.2265286445618,160420,5.205258512004059,0.8135251647361613
26,1031.7412638546575,pymc_numpyro_cpu_parallel,2019,3,9.053215026855469,5160,3.7126497016272113,113.96407362402184
27,273.74536102988947,pymc_numpyro_cpu_parallel,2000,3,140.53749561309814,56277,4.750330938119993,1.9478457320992442
28,354.1866608482493,pymc_numpyro_cpu_parallel,1990,3,291.11461567878723,89460,4.951628893836638,1.2166570889008717
29,407.7859522653662,pymc_numpyro_cpu_parallel,2010,3,41.66655921936035,28251,4.451033825139367,9.786888092163093
30,1190.6903003577427,pymc_numpyro_cpu_parallel,2020,3,6.825665235519409,2714,3.433609843323718,174.44311422740546
31,683.5600065765947,pymc_numpyro_cpu_parallel,1980,3,351.2654449939728,122884,5.08949533964751,1.9459927422930074
32,596.4569607997869,pymc_numpyro_cpu_vectorized,2015,3,88.12931442260742,15464,4.189321841020496,6.7679745917412975
33,330.4298404925964,pymc_numpyro_cpu_vectorized,1968,3,1855.8264112472534,160420,5.205258512004059,0.178049971963985
34,1052.8591159502762,pymc_numpyro_cpu_vectorized,2019,3,35.7396514415741,5160,3.7126497016272113,29.45913218184158
35,258.7481922773995,pymc_numpyro_cpu_vectorized,2000,3,385.82879853248596,56277,4.750330938119993,0.6706295467356448
36,358.61450671111857,pymc_numpyro_cpu_vectorized,1990,3,976.4694304466248,89460,4.951628893836638,0.3672562555768826
37,402.27800706974045,pymc_numpyro_cpu_vectorized,2010,3,177.16296076774597,28251,4.451033825139367,2.270666539588441
38,1201.7990527941242,pymc_numpyro_cpu_vectorized,2020,3,23.617985010147095,2714,3.433609843323718,50.88491047300565
39,770.8159414427515,pymc_numpyro_cpu_vectorized,1980,3,1282.5708813667297,122884,5.08949533964751,0.6009928594522251
40,691.4150023292023,pymc_blackjax_cpu_parallel,2015,3,21.094748497009277,15464,4.189321841020496,32.776641182862555
41,426.4673873812133,pymc_blackjax_cpu_parallel,1968,3,453.61336731910706,160420,5.205258512004059,0.9401561287791655
42,1146.2360616840017,pymc_blackjax_cpu_parallel,2019,3,10.539762735366821,5160,3.7126497016272113,108.75349763213703
43,212.86792766141158,pymc_blackjax_cpu_parallel,2000,3,88.76745367050171,56277,4.750330938119993,2.3980402597956876
44,419.92213291054145,pymc_blackjax_cpu_parallel,1990,3,207.30943822860718,89460,4.951628893836638,2.0255813555747473
45,471.9459769232577,pymc_blackjax_cpu_parallel,2010,3,39.13878321647644,28251,4.451033825139367,12.058269014469014
46,1153.2117354937304,pymc_blackjax_cpu_parallel,2020,3,8.756062507629395,2714,3.433609843323718,131.7043744821266
47,376.4729527014048,pymc_blackjax_cpu_parallel,1980,3,361.72633361816406,122884,5.08949533964751,1.040767336278058
